species,target,skimming
Barringtonia_edulis,SRR12246856,SRR13514612
Barringtonia_racemosa,SRR12246854,SRR13514610
Grias_angustipetala,SRR12247043,SRR13514403
Grias_cauliflora,SRR12247042,SRR13514402
Gustavia_angustifolia,SRR12247029,SRR13514392
Gustavia_augusta,SRR12247028,SRR13514391
Couroupita_guianensis,SRR12246839,SRR13514439
Couroupita_nicaraguarensis,SRR12246832,SRR13514432
Allantoma_decandra,SRR12246852,SRR13514608
Allantoma_integrifolia,SRR12246859,SRR13514615
Cariniana_estrellensis,SRR12246969,SRR13514544
Cariniana_ianeirensis,SRR12246850,SRR13514606
Couratari_asterotricha,SRR12246843,SRR13514443
Couratari_calycina,SRR12246842,SRR13514442
Pachylecythis_marcgraaviana,SRR12246991,SRR13514566
Pachylecythis_pisonis,SRR12246984,SRR13514559
Eschweilera_coriacea,SRR12246986,SRR13514561
Eschweilera_coriacea_2,SRR12246975,SRR13514550
Eschweilera_albiflora,SRR12247038,SRR13514629
Eschweilera_parvifolia,SRR12246921,SRR13514496
